-------vehicle-------     --------model--------     train_num     test_num     train_time(s)     test_time(s)     per_train_time(us)     per_test_time(us)     model_size(byte)     accuracy     precision     recall     f1_score     
Hyundai i20               VInspector                8875          8892         0.79818           0.467134         89.935759              52.534134             23782                0.999775     0.999775      0.999775   0.999775     
Hyundai i20               VInspectorGradient        8875          8892         0.61181           0.486901         68.936388              54.757149             25358                0.99955      0.99955       0.99955    0.99955      
Hyundai ix35              Baseline                  10737         10743        7.744081          7.398103         721.251797             688.644047            1291                 0.940426     0.940426      0.940426   0.940426     
Hyundai ix35              ECUPrint                  10737         10743        2.309076          0.884203         215.0578               82.30501              1051                 0.976171     0.976171      0.976171   0.976171     
Hyundai ix35              VInspectorLR              10737         10743        14.511247         0.659775         1351.517872            61.414389             10542                0.986968     0.986968      0.986968   0.986968     
Hyundai ix35              BaselineOptimization      10737         10743        7.647641          7.451482         712.269787             693.612732            43305                0.997673     0.997673      0.997673   0.997673     
Hyundai ix35              ECUPrintOptimization      10737         10743        0.970747          0.972674         90.411381              90.540271             35817                1.0          1.0           1.0        1.0          
Hyundai ix35              VInspector                10737         10743        1.089494          0.701477         101.471032             65.296175             39214                0.997301     0.997301      0.997301   0.997301     
Hyundai ix35              VInspectorGradient        10737         10743        0.798547          0.593724         74.373362              55.266128             24246                0.999814     0.999814      0.999814   0.999814     
John Deere Tractor        Baseline                  1980          1993         1.471391          1.415116         743.126628             710.043307            1027                 0.938284     0.938284      0.938284   0.938284     
John Deere Tractor        ECUPrint                  1980          1993         0.245962          0.197984         124.223064             99.33944              907                  0.938786     0.938786      0.938786   0.938786     
John Deere Tractor        VInspectorLR              1980          1993         0.538468          0.143329         271.953477             71.916279             5694                 0.975414     0.975414      0.975414   0.975414     
John Deere Tractor        BaselineOptimization      1980          1993         1.501762          1.434473         758.465854             719.755424            81729                0.977923     0.977923      0.977923   0.977923     
John Deere Tractor        ECUPrintOptimization      1980          1993         0.237444          0.199669         119.921053             100.18509             15169                0.999498     0.999498      0.999498   0.999498     
John Deere Tractor        VInspector                1980          1993         0.255253          0.157929         128.915454             79.241699             24038                0.996488     0.996488      0.996488   0.996488     
John Deere Tractor        VInspectorGradient        1980          1993         0.181445          0.131176         91.63895               65.818362             12366                1.0          1.0           1.0        1.0          
Opel Corsa                Baseline                  4575          4584         3.173982          3.224512         693.766484             703.427492            1115                 1.0          1.0           1.0        1.0          
Opel Corsa                ECUPrint                  4575          4584         0.786628          0.38946          171.940444             84.960752             955                  1.0          1.0           1.0        1.0          
Opel Corsa                VInspectorLR              4575          4584         2.277133          0.247862         497.734039             54.071087             7310                 1.0          1.0           1.0        1.0          
Opel Corsa                BaselineOptimization      4575          4584         3.121032          3.098696         682.192839             675.980697            11017                1.0          1.0           1.0        1.0          
Opel Corsa                ECUPrintOptimization      4575          4584         0.40882           0.388335         89.359492              84.715364             12777                1.0          1.0           1.0        1.0          
Opel Corsa                VInspector                4575          4584         0.374739          0.232176         81.910097              50.649229             11086                1.0          1.0           1.0        1.0          
Opel Corsa                VInspectorGradient        4575          4584         0.302874          0.240749         66.201882              52.519442             11094                1.0          1.0           1.0        1.0          
